"Type","Price information classification","Area","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","District","Nearest station : Name","Nearest station : Distance","Total transaction value","Area(‡u)","Land : Price per m2","Land : Shape","Frontage","Building : Total floor area","Building : Construction year","Building : Structure","Use","Purpose of use","Frontage road : Direction","Frontage road : Width","Frontage road : Type","City planning","Building coverage ratio","Floor area ratio","Transaction timing","Transaction factors"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13201","Tokyo","Hachioji City","Myojincho","Keio Hachioji",6,83000000,90,"","Semi-rectangular Shaped",8.6,270,"2003","S","House, Warehouse","Office","Northeast",18.1,"City Road","Neighborhood Comm",80,300,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Myojincho","Keio Hachioji",8,110000000,105,"","Semi-square Shaped",9,200,"2025","W","Housing Complex","House","Northwest",6,"City Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13201","Tokyo","Hachioji City","Myojincho","Hachioji",9,35000000,85,"","Semi-rectangular Shaped",6,95,"2000","W","House, Shop","Shop","Northeast",22,"National Road","Commerical",80,600,"2nd quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Myojincho","Hachioji",11,52000000,140,370000,"Semi-rectangular Shaped",10,"","","","","House","Northwest",8,"City Road","Quasi-Ind",60,200,"2nd quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Myojincho","Hachioji",7,210000000,410,520000,"Irregular Shaped",14,"","","","","House","Southeast",6,"City Road","Neighborhood Comm",80,300,"2nd quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13201","Tokyo","Hachioji City","Myojincho","Hachioji",8,50000000,100,510000,"Irregular Shaped",11.9,"","","","","Other","Southeast",6,"City Road","Commerical",80,600,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13201","Tokyo","Hachioji City","Myojincho","Hachioji",6,130000000,140,"","Semi-rectangular Shaped",10.5,380,"2005","S","Housing Complex, Other","House","West",8,"City Road","Commerical",80,600,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Mejirodai","Mejirodai",8,66000000,240,"","Rectangular Shaped",18,155,"2025","W","House","House","Northwest",5,"City Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Mejirodai","Mejirodai",4,32000000,240,130000,"Semi-square Shaped",12,"","","","","House","Northeast",8,"City Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Mejirodai","Mejirodai",5,28000000,230,"","Semi-square Shaped",15,120,"1979","W","House","House","Northwest",5,"City Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Mejirodai","Mejirodai",5,22000000,220,"","Semi-trapezoidal Shaped",11.8,170,"1972","RC","House","House","Northeast",9,"City Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Mejirodai","Mejirodai",7,55000000,220,"","Trapezoidal Shaped",8.6,100,"2025","W","House","House","Northwest",6,"City Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Mejirodai","Mejirodai",10,10000000,350,"","Trapezoidal Shaped",17,150,"1979","RC","House, Housing Complex, Other","","Northeast",5,"City Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Mejirodai","Mejirodai",8,38000000,195,190000,"Rectangular Shaped",15.7,"","","","","House","Northeast",6,"City Road","1 Exc Low",50,100,"2nd quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Mejirodai","Mejirodai",7,42000000,230,180000,"Semi-square Shaped",15,"","","","","House","Southwest",8,"City Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Mejirodai","Mejirodai",6,48000000,155,"","&quot;Flag-shaped&quot; etc.",3,105,"2025","W","House","House","East",6,"City Road","1 Exc Low",50,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Mejirodai","Mejirodai",9,49000000,260,"","Rectangular Shaped",9.9,170,"1989","W","House","House","Northeast",5,"City Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Mejirodai","Mejirodai",8,35000000,230,"","Square Shaped",15,135,"1976","W","House","House","Southeast",8,"City Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Mejirodai","Mejirodai",11,30000000,185,"","Semi-rectangular Shaped",8.1,145,"1988","W","House","House","West",6,"City Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Mejirodai","Mejirodai",6,33000000,210,160000,"Square Shaped",13.7,"","","","","House","Southeast",5,"City Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Mejirodai","Mejirodai",8,63000000,670,"","Semi-rectangular Shaped",22,210,"1972","","Housing Complex","","Southeast",6,"City Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Mejirodai","Mejirodai",9,41000000,330,"","Semi-shaped",13.9,100,"1974","","House","House","South",20,"City Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Mejirodai","Mejirodai",7,40000000,270,150000,"Semi-rectangular Shaped",19.3,"","","","","Other","Southeast",5,"City Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Mejirodai","Mejirodai",7,25000000,230,"","Square Shaped",15,150,"1988","W","House","House","Northwest",6,"City Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Mejirodai","Mejirodai",8,40000000,250,"","Square Shaped",15.5,115,"1971","W","House","House","Southwest",6,"City Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Mejirodai","Mejirodai",6,66000000,220,"","Semi-square Shaped",15.4,110,"2024","W","House","House","Northwest",4.8,"City Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Mejirodai","Mejirodai",4,40000000,230,"","Semi-rectangular Shaped",14.5,160,"1995","","House","House","Northeast",5.8,"City Road","1 Exc Med",60,200,"4th quarter 2024",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Mejirodai","Mejirodai",5,38000000,210,180000,"Semi-square Shaped",15,"","","","","House","South",5,"City Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohachiojimachi","Takao(Tokyo)","30-60minutes",26000000,150,"","Semi-rectangular Shaped",10,105,"2018","W","House","House","Southeast",4,"Private Road","1 Exc Low",40,80,"3rd quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohachiojimachi","Takao(Tokyo)",29,25000000,220,"","&quot;Flag-shaped&quot; etc.","",95,"2025","W","House","House","Southeast",5,"Private Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohachiojimachi","Takao(Tokyo)","30-60minutes",23000000,170,"","Rectangular Shaped",12.1,100,"2005","W","House","House","Northeast",11.5,"Private Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohachiojimachi","Takao(Tokyo)","30-60minutes",29000000,240,"","Rectangular Shaped",19,165,"1992","W","House","House","South",5,"City Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohachiojimachi","Takao(Tokyo)","30-60minutes",29000000,210,"","Semi-square Shaped",14,130,"1993","W","House","House","North",6,"City Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohachiojimachi","Takao(Tokyo)",28,30000000,155,"","&quot;Flag-shaped&quot; etc.",2.8,"","2024","W","House","House","West",4,"Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohachiojimachi","Takao(Tokyo)","30-60minutes",30000000,135,"","Semi-rectangular Shaped",13.1,100,"2019","W","House","House","Southwest",4,"City Road","Quasi-Res",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohachiojimachi","Takao(Tokyo)",21,28000000,125,"","Rectangular Shaped",7,95,"2024","W","House","House","North",5,"City Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohachiojimachi","Takao(Tokyo)",26,32000000,140,"","Semi-rectangular Shaped",7.7,100,"2024","W","House","House","Northwest",3.7,"Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohachiojimachi","Takao(Tokyo)","30-60minutes",16000000,230,"","Irregular Shaped",4,125,"1991","LS","House","House","Southwest",4,"Road","1 Exc Low",40,80,"1st quarter 2025","Dealings including private road"
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohachiojimachi","Takao(Tokyo)","30-60minutes",35000000,440,80000,"Semi-rectangular Shaped",10.5,"","","","","","West",3.2,"City Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohachiojimachi","Takao(Tokyo)","30-60minutes",17000000,130,"","Rectangular Shaped",8.2,95,"2012","W","House","House","Southwest",5,"Private Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohachiojimachi","Takao(Tokyo)","30-60minutes",25000000,155,160000,"Irregular Shaped",5.9,"","","","","House","Northwest",6,"Private Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohachiojimachi","Takao(Tokyo)","30-60minutes",25000000,160,160000,"Semi-rectangular Shaped",11.5,"","","","","","Southwest",4,"City Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohachiojimachi","Takao(Tokyo)",24,9000000,200,"","Rectangular Shaped",11,110,"1977","W","House","Other","North",5,"City Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohachiojimachi","Takao(Tokyo)",29,45000000,155,"","&quot;Flag-shaped&quot; etc.",3,90,"2025","W","House","","Southwest",6,"Private Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohachiojimachi","Takao(Tokyo)",26,13000000,110,"","Trapezoidal Shaped",6.4,60,"1978","W","House","House","Southeast",2.7,"City Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohachiojimachi","Nishi Hachioji","30-60minutes",35000000,125,"","Semi-rectangular Shaped",7.6,100,"2024","W","House","House","Southwest",4,"City Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohongocho","Nishi Hachioji",18,11000000,120,"","Semi-rectangular Shaped",7,"","","W","House, Shop","House","East",15,"Tokyo Metropolitan Road","Neighborhood Comm",80,300,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohongocho","Nishi Hachioji",15,44000000,100,"","Rectangular Shaped",8.1,100,"2025","W","House","House","South",6,"City Road","Quasi-Ind",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohongocho","Nishi Hachioji",11,52000000,120,"","Semi-rectangular Shaped",8.9,105,"2025","W","House","House","West",16,"City Road","Quasi-Ind",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohongocho","Nishi Hachioji",15,49000000,175,"","Semi-rectangular Shaped",9.1,240,"1987","SRC","Housing Complex","","South",6,"City Road","Quasi-Ind",60,200,"2nd quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohongocho","Nishi Hachioji",12,32000000,110,290000,"Rectangular Shaped",8,"","","","","House","South",5.6,"City Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohongocho","Nishi Hachioji",14,25000000,70,"","Semi-shaped",6,105,"2005","W","House","House","North",5.5,"City Road","Quasi-Ind",60,200,"1st quarter 2025","Dealings including private road"
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohongocho","Nishi Hachioji",10,24000000,145,160000,"Trapezoidal Shaped","","","","","","Other","North",5,"Private Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohongocho","Nishi Hachioji",16,38000000,105,"","Semi-rectangular Shaped",9.1,110,"2024","W","House","House","North",4,"City Road","2 Res",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohongocho","Nishi Hachioji",14,38000000,85,"","Rectangular Shaped",6.5,100,"2024","W","House","House","North",6,"City Road","Quasi-Ind",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohongocho","Hachioji",26,35000000,165,"","Irregular Shaped",4,165,"2022","W","House","House","West",6,"City Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motohongocho","Yamada(Tokyo)",6,13000000,105,120000,"Semi-rectangular Shaped",6,"","","","","Other","Northwest",4,"City Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motoyokoyamacho","Hachioji",15,52000000,240,220000,"Semi-rectangular Shaped",11.8,"","","","","House","South",5.4,"City Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Motoyokoyamacho","Hachioji",15,51000000,95,"","Irregular Shaped",5,90,"2025","W","House","House","West",12,"City Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13201","Tokyo","Hachioji City","Yagicho","Hachioji",21,300000000,980,310000,"Irregular Shaped",16,"","","","","Shop","South",22,"National Road","Commerical",80,600,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yanomachi","Hachioji","30-60minutes",22000000,310,"","Rectangular Shaped","",95,"2013","W","House","House","Northwest",4.5,"City Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yanomachi","Hachioji","1H-1H30",17000000,185,"","Semi-shaped",12.9,100,"1996","W","House","House","Northwest",5,"Private Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yamatamachi","Yamada(Tokyo)",11,3000000,300,10000,"Irregular Shaped",30,"","","","","","No facing road","","","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yamatamachi","Yamada(Tokyo)",8,44000000,130,"","&quot;Flag-shaped&quot; etc.","",95,"2024","W","House","House","Southwest",4.7,"Private Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yamatamachi","Yamada(Tokyo)",9,33000000,110,"","&quot;Flag-shaped&quot; etc.",2.5,80,"2024","W","House","","Northeast",3.4,"Private Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yarimizu","Aihara","30-60minutes",35000000,120,"","Rectangular Shaped",6.7,95,"2025","W","House","House","North",6,"City Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yarimizu","Tamasakai",23,25000000,110,"","Semi-rectangular Shaped",9.9,85,"1997","W","House","House","North",6,"City Road","1 Exc Low",40,80,"2nd quarter 2025","Dealings between related objects"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yarimizu","Minami Osawa",24,96000000,760,"","Irregular Shaped",18.2,420,"1994","LS","Housing Complex","House","Northeast",11,"City Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yokokawamachi","Nishi Hachioji",12,150000000,850,"","Semi-rectangular Shaped",25,"2,000 ‡u or greater.","1985","RC","Housing Complex","House","Southeast",6.5,"City Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yokokawamachi","Nishi Hachioji",23,21000000,270,"","Rectangular Shaped",12,115,"1988","W","House","House","South",5,"City Road","1 Exc Low",40,80,"3rd quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yokokawamachi","Nishi Hachioji",21,3500000,100,"","Semi-square Shaped",10,65,"1978","W","House","House","South",4,"Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yokokawamachi","Nishi Hachioji",20,38000000,140,"","Semi-rectangular Shaped",13,95,"2025","W","House","House","South",3.2,"City Road","1 Exc Low",40,80,"2nd quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yokokawamachi","Nishi Hachioji",25,75000000,700,"","Semi-rectangular Shaped",30,460,"1986","RC","Housing Complex","House","West",5.1,"City Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yokokawamachi","Nishi Hachioji","30-60minutes",3500000,140,25000,"Semi-trapezoidal Shaped",12,"","","","","","East",6,"City Road","1 Exc Low",30,50,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yokokawamachi","Nishi Hachioji",13,5500000,140,"","Semi-rectangular Shaped",7.2,105,"1996","W","House","House","South",4,"Private Road","1 Exc Low",40,80,"1st quarter 2025","Dealings of real estate that includes wound etc."
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yokokawamachi","Nishi Hachioji",23,46000000,650,70000,"Semi-rectangular Shaped",15,"","","","","House","East",2,"City Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yokokawamachi","Nishi Hachioji","30-60minutes",31000000,125,"","Semi-shaped",9.1,95,"2025","W","House","House","Southeast",4,"Private Road","1 Exc Low",40,80,"1st quarter 2025","Dealings including private road"
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yokokawamachi","Nishi Hachioji",21,30000000,260,120000,"Semi-rectangular Shaped",10,"","","","","House","North",5.3,"City Road","1 Exc Low",40,80,"1st quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yokokawamachi","Hachioji","30-60minutes",27000000,320,84000,"Semi-rectangular Shaped",14.5,"","","","","House","East",3.5,"City Road","1 Exc Low",40,80,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yokokawamachi","Hachioji","1H-1H30",29000000,125,"","Semi-rectangular Shaped",7.5,95,"2025","W","House","House","Southeast",4,"Road","1 Exc Low",40,80,"2nd quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yokokawamachi","Hachioji","1H-1H30",29000000,140,"","Semi-trapezoidal Shaped",18,95,"2025","W","House","House","Southeast",4,"Road","1 Exc Low",40,80,"2nd quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yokokawamachi","Hachioji","1H-1H30",60000000,370,"","Irregular Shaped",8.8,160,"2005","W","Office, Warehouse","Office","West",22,"Tokyo Metropolitan Road","Quasi-Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yokokawamachi","Hachioji","1H-1H30",19000000,160,"","Semi-trapezoidal Shaped",15.5,115,"1983","LS","House","House","Southwest",5,"Road","1 Exc Low",40,80,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yotsuyamachi","Hachioji","1H-1H30",22000000,110,"","Irregular Shaped",3.8,105,"2020","W","House","House","East",7.5,"City Road","Quasi-Ind",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yotsuyamachi","Hachioji","1H-1H30",25000000,135,"","&quot;Flag-shaped&quot; etc.",3,95,"2025","W","House","House","Southwest",6,"City Road","Quasi-Ind",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yotsuyamachi","Hachioji","1H-1H30",30000000,145,"","Semi-trapezoidal Shaped",12,100,"2024","W","House","House","West",4,"City Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yotsuyamachi","Hachioji","1H-1H30",21000000,130,"","Semi-trapezoidal Shaped",11,115,"1982","W","House","Factory","Southeast",4,"Road","Quasi-Ind",60,200,"4th quarter 2024",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13201","Tokyo","Hachioji City","Yotsuyamachi","Hachioji","1H-1H30",15000000,155,94000,"Square Shaped",12.5,"","","","","House","Southwest",6,"City Road","Quasi-Ind",60,200,"4th quarter 2024",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13201","Tokyo","Hachioji City","Yorozucho","Hachioji",10,44000000,150,300000,"Semi-square Shaped",13,"","","","","Other","West",6,"City Road","Neighborhood Comm",80,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13201","Tokyo","Hachioji City","Yorozucho","Hachioji",10,24000000,105,"","Rectangular Shaped",9,110,"1983","W","Housing Complex","Other","South",5,"Private Road","Neighborhood Comm",80,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13201","Tokyo","Hachioji City","Yorozucho","Hachioji",11,40000000,90,"","Semi-trapezoidal Shaped",9.5,145,"2013","","House","House","Southeast",4,"City Road","Neighborhood Comm",80,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13202","Tokyo","Tachikawa City","Fujimicho","Tachikawa",20,18000000,75,"","","",85,"1994","W","","","South",2,"Private Road","1 Exc Low",50,100,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13202","Tokyo","Tachikawa City","Wakabacho","Kunitachi","",48000000,145,"","","",110,"2004","LS","","","Northwest",6,"Public Road","1 Exc Low",40,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13202","Tokyo","Tachikawa City","Akebonocho","Tachikawa",10,58000000,80,"","","",115,"2015","W","","","Northwest",4,"Private Road","1 Res",60,160,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13202","Tokyo","Tachikawa City","Akebonocho","Tachikawa",20,42000000,70,"","","",70,"2024","W","","","East",5.5,"Public Road","1 Exc Low",50,100,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13202","Tokyo","Tachikawa City","Kamisunacho","Musashi Sunagawa",20,20000000,75,"","","",80,"2001","W","","","North",6.5,"Private Road","1 Exc Med",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13202","Tokyo","Tachikawa City","Kamisunacho","Musashi Sunagawa",10,12000000,60,"","","",75,"1976","W","","","South",5,"Private Road","Industrial",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13202","Tokyo","Tachikawa City","Hagoromocho","Nishi Kunitachi",10,60000000,115,"","","",105,"2011","LS","","","Southwest",5,"Public Road","1 Exc Low",50,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13202","Tokyo","Tachikawa City","Hagoromocho","Nishi Kunitachi",10,30000000,70,"","","",75,"1994","W","","","Southeast",6,"Private Road","1 Exc Low",40,80,"4th quarter 2024",""
