"Type","Price.information.classification","Area","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","District","Nearest.station...Name","Nearest.station...Distance","Total.transaction.value","Area...","Land...Price.per.m2","Land...Shape","Frontage","Building...Total.floor.area","Building...Construction.year","Building...Structure","Use","Purpose.of.use","Frontage.road...Direction","Frontage.road...Width","Frontage.road...Type","City.planning","Building.coverage.ratio","Floor.area.ratio","Transaction.timing","Transaction.factors"
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Sano","Kita Ayase","25",4.9e+07,"90",NA,"","","95","2024","W","","","West",10,"Public Road","1 Exc Med",NA,NA,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Senjuasahicho","Kita Senju","10",2.6e+07,"45",NA,"","","55","1976","W","","","South",2.4,"Private Road","1 Res",80,300,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Senjuazuma","Kita Senju","5",6.4e+07,"70",NA,"","","95","2010","W","","","",1.8,"","Quasi-Ind",80,268,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Towa","Kameari","15",8e+06,"35",NA,"","","45","1966","W","","","West",3.6,"Private Road","1 Res",60,300,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Towa","Kameari","15",9.6e+07,"110",NA,"","","230","1998","S","","","Northwest",10.9,"Public Road","Neighborhood Comm",80,300,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nishiarai","Yazaike","5",4.5e+07,"90",NA,"","","90","2011","W","","","South",4,"Private Road","1 Exc Low",50,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nishiaraihoncho","Daishimae","10",4.4e+07,"90",NA,"","","120","2017","W","","","West",5,"Public Road","Neighborhood Comm",80,300,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Higashiiko","Takenotsuka","20",2.2e+07,"80",NA,"","","85","1987","W","","","East",7.3,"Public Road","1 Exc Low",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Motokiminamimachi","Ogi Ohashi","20",3e+07,"70",NA,"","","95","2006","W","","","East",4.5,"Public Road","Quasi-Ind",80,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Yanagihara","Kita Senju","15",4.4e+07,"55",NA,"","","70","2019","W","","","Southwest",4,"Public Road","Quasi-Ind",90,240,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Iriya","Toneri","15",4.4e+07,"140",NA,"","","270","1985","S","","","East",6,"Public Road","Quasi-Ind",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Iriya","Toneri","10",4.3e+07,"95",NA,"","","100","2018","W","","","Southwest",4.5,"Private Road","1 Exc Med",60,180,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Umeda","Gotanno","15",4.8e+07,"105",NA,"","","115","1993","W","","","South",4,"Public Road","Quasi-Ind",80,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Umeda","Umejima","10",5e+07,"105",NA,"","","90","2002","W","","","East",NA,"Public Road","1 Res",60,300,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Oyata","Kameari","25",3.9e+07,"50",NA,"","","105","2018","W","","","Southeast",3.4,"Public Road","Neighborhood Comm",80,300,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Oyata","Kita Ayase","15",3.5e+07,"90",NA,"","","100","2004","W","","","",8.4,"Public Road","1 Res",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Oyata","Kameari","20",7e+06,"35",NA,"","","55","1960","W","","","",NA,"Private Road","Quasi-Ind",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Shikahama","Yazaike","10",3.6e+07,"70",NA,"","","95","2010","W","","","East",9.3,"Public Road","1 Res",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Shikahama","Nishiaraidaishi Nishi","15",1.7e+07,"45",NA,"","","50","1979","W","","","West",6,"Public Road","1 Res",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Shimane","Umejima","15",5e+07,"75",NA,"","","95","2024","W","","","North",4.5,"Private Road","1 Exc Med",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Shimane","Nishi Arai","15",6e+07,"75",NA,"","","130","2024","W","","","North",4,"Public Road","1 Exc Med",80,161,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Senjuakebonocho","Horikiri","5",5.5e+07,"65",NA,"","","95","2018","W","","","Southeast",4,"Public Road","Quasi-Ind",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Toneri","Minumadai Shinsuikoen","5",4.4e+07,"70",NA,"","","95","2024","W","","","Northeast",7.4,"Public Road","1 Res",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nishiiko","Toneri Koen","10",4e+07,"115",NA,"","","140","2003","W","","","South",15.9,"Public Road","1 Res",60,300,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Hanahata","Yatsuka","25",5.3e+07,"135",NA,"","","135","2011","LS","","","West",5,"Public Road","1 Exc Med",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Hanahata","Rokucho","",4.7e+07,"95",NA,"","","110","2006","W","","","East",6,"Public Road","1 Exc Med",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Hanahata","Yatsuka","25",4.3e+07,"75",NA,"","","85","2023","W","","","East",15,"Public Road","Quasi-Res",70,240,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Higashihokima","Takenotsuka","",2.2e+07,"70",NA,"","","80","1996","W","","","",NA,"Public Road","2 Exc Med",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Hitotsuya","Rokucho","20",2.6e+07,"65",NA,"","","70","1976","W","","","East",16,"Public Road","Quasi-Res",60,400,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Hitotsuya","Rokucho","20",9.5e+07,"235",NA,"","","245","1999","","","","North",6,"Public Road","1 Exc Med",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Aoi","Aoi","20",4.1e+07,"75",NA,"","","95","2021","W","","","East",4.5,"Private Road","1 Exc Med",60,180,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Aoi","Aoi","20",4.1e+07,"80",NA,"","","90","2021","W","","","West",4.5,"Private Road","1 Exc Med",60,180,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Aoi","Aoi","15",3.9e+07,"55",NA,"","","90","2020","W","","","North",NA,"Private Road","1 Exc Med",NA,NA,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Aoi","Aoi","5",2.5e+07,"40",NA,"","","40","1995","W","","","West",20,"Public Road","Neighborhood Comm",80,300,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Aoi","Aoi","10",4.5e+07,"100",NA,"","","105","2005","W","","","Southwest",4.5,"Private Road","Quasi-Ind",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Saranuma","Toneri Koen","10",4.2e+07,"105",NA,"","","90","2024","W","","","South",6,"Public Road","1 Res",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Shimmei","Yashio","20",2.9e+07,"110",NA,"","","100","1998","W","","","South",4.5,"Private Road","1 Exc Low",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Shimmeiminami","Rokucho","20",2.8e+07,"105",NA,"","","85","1997","W","","","West",5,"Public Road","1 Exc Low",60,80,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Chuohoncho","Gotanno","10",3.6e+07,"70",NA,"","","95","2002","W","","","North",4,"Private Road","1 Res",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nishiayase","Gotanno","10",1.9e+07,"35",NA,"","","45","2004","W","","","South",3.9,"Public Road","1 Exc Med",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nishihokima","Takenotsuka","15",4e+07,"110",NA,"","","100","2020","W","","","East",6,"Private Road","1 Exc Med",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Hozukacho","Rokucho","15",5.9e+07,"85",NA,"","","130","2024","W","","","South",4.5,"Private Road","1 Exc Med",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Mutsugi","Kita Ayase","",3.5e+07,"125",NA,"","","100","2013","W","","","West",5.3,"Public Road","Quasi-Ind",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Rokucho","Rokucho","5",4.9e+07,"60",NA,"","","110","2008","W","","","North",4.5,"Public Road","1 Res",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Ayase","Ayase","10",5.8e+07,"80",NA,"","","115","1994","LS","","","East",6,"Public Road","1 Exc Med",60,240,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kurihara","Nishi Arai","10",4.3e+07,"70",NA,"","","80","2005","W","","","West",4,"Private Road","1 Exc Med",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kurihara","Nishi Arai","15",5e+07,"95",NA,"","","95","2015","W","","","East",4,"Public Road","1 Exc Med",60,160,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kojiyahoncho","Toneri","15",3.8e+07,"90",NA,"","","90","2014","W","","","Southwest",5,"Public Road","1 Exc Low",50,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kojiyahoncho","Toneri","15",4.3e+07,"95",NA,"","","90","2025","W","","","Southeast",4,"Private Road","1 Exc Low",60,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kojiyahoncho","Takenotsuka","20",3.3e+07,"60",NA,"","","85","2018","W","","","South",11,"Public Road","1 Exc Med",50,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kojiyahoncho","Toneri","10",3.6e+07,"100",NA,"","","90","2015","W","","","North",9.7,"Public Road","1 Exc Med",50,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kojiyahoncho","Toneri","15",3.4e+07,"65",NA,"","","80","2014","W","","","",NA,"Public Road","1 Exc Low",50,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Sekibara","Nishi Arai","15",4e+07,"35",NA,"","","80","2024","W","","","",NA,"","Quasi-Ind",80,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Sekibara","Nishi Arai","10",5.6e+07,"100",NA,"","","115","2025","W","","","East",4,"Private Road","Quasi-Ind",80,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Sekibara","Umejima","15",4e+07,"70",NA,"","","85","2024","W","","","",NA,"","Quasi-Ind",80,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Sekibara","Nishi Arai","10",1.9e+07,"45",NA,"","","65","1975","S","","","Northeast",1.7,"Private Road","Quasi-Ind",80,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Sekibara","Umejima","15",5e+07,"65",NA,"","","120","2025","W","","","",NA,"","Quasi-Ind",80,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Sekibara","Umejima","15",5.3e+07,"70",NA,"","","120","2025","W","","","",NA,"","Quasi-Ind",80,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Senjusakuragi","Kita Senju","20",4.9e+07,"65",NA,"","","105","2024","W","","","Southwest",4,"Public Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Senjumotomachi","Kita Senju","20",5.7e+07,"55",NA,"","","105","2025","W","","","South",3.2,"Private Road","Quasi-Ind",80,300,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Tatsunuma","Kita Ayase","25",3.8e+07,"120",NA,"","","90","2020","W","","","",NA,"","1 Exc Low",50,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nakagawa","Kameari","15",3e+07,"45",NA,"","","65","2010","W","","","Northwest",3.8,"Private Road","1 Exc Med",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Higashirokugatsucho","Rokucho","20",4.9e+07,"105",NA,"","","110","2013","W","","","Northeast",8.4,"Public Road","1 Exc Low",60,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Higashirokugatsucho","Takenotsuka","",5.7e+07,"105",NA,"","","95","2019","W","","","South",4.9,"Private Road","1 Exc Low",50,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Higashirokugatsucho","Takenotsuka","",3.8e+07,"80",NA,"","","95","2025","W","","","East",4,"Private Road","1 Exc Low",50,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Hokima","Takenotsuka","25",3.9e+07,"90",NA,"","","100","2012","W","","","South",4.5,"Public Road","1 Exc Med",60,180,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Minamihanahata","Rokucho","",3.5e+07,"75",NA,"","","105","2024","W","","","",NA,"","2 Exc Med",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Minamihanahata","Rokucho","10",6.2e+07,"115",NA,"","","125","1990","RC","","","South",7.6,"Public Road","1 Exc Med",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Minamihanahata","Rokucho","25",4.3e+07,"75",NA,"","","115","2024","W","","","South",9.3,"Private Road","1 Exc Med",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Minamihanahata","Rokucho","25",4.6e+07,"75",NA,"","","115","2024","W","","","East",6,"Private Road","1 Exc Med",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Minamihanahata","Rokucho","25",4.4e+07,"75",NA,"","","115","2024","W","","","South",9.3,"Private Road","1 Exc Med",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Ikohoncho","Takenotsuka","15",3.5e+07,"115",NA,"","","85","1994","W","","","North",7.4,"Public Road","1 Exc Low",50,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Ayase","Ayase","10",4e+07,"45",NA,"","","70","2023","W","","","Southeast",4,"Private Road","1 Exc Med",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Ayase","Ayase","5",9.5e+07,"135",NA,"","","130","2000","W","","","North",8,"Public Road","1 Res",60,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kurihara","Nishi Arai","15",4.8e+07,"100",NA,"","","105","2003","W","","","Northeast",4,"Private Road","1 Exc Med",60,180,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kurihara","Daishimae","10",5e+07,"65",NA,"","","85","2025","W","","","",NA,"","2 Res",80,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kojiyahoncho","Toneri","15",7800000,"40",NA,"","","45","1973","W","","","South",4,"Private Road","1 Exc Low",50,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kojiyahoncho","Toneri","10",4.3e+07,"110",NA,"","","90","2006","W","","","West",7.4,"Public Road","1 Exc Low",50,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kojiyahoncho","Toneri","15",3.5e+07,"80",NA,"","","90","2013","W","","","Northwest",7.4,"Public Road","1 Exc Low",50,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kojiyahoncho","Toneri","10",3.1e+07,"95",NA,"","","75","2001","W","","","West",4.4,"Public Road","1 Exc Low",50,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kojiyahoncho","Toneri","10",4.3e+07,"120",NA,"","","100","1998","W","","","West",7.4,"Public Road","Neighborhood Comm",80,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kojiyahoncho","Toneri","5",3.2e+07,"120",NA,"","","95","2002","W","","","West",7.4,"Public Road","1 Exc Med",50,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kojiyahoncho","Toneri","15",2.5e+07,"90",NA,"","","90","1999","W","","","Southeast",NA,"Private Road","1 Exc Low",50,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Senjunakacho","Kita Senju","10",1.3e+08,"120",NA,"","","195","2008","S","","","West",5.2,"Public Road","Neighborhood Comm",80,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Senjumiyamotocho","Kita Senju","15",4.6e+07,"45",NA,"","","80","2018","W","","","",NA,"","Quasi-Ind",60,240,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Senjumotomachi","Kita Senju","20",3.3e+07,"40",NA,"","","65","2024","W","","","West",4,"Private Road","Quasi-Ind",90,240,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nakagawa","Kameari","15",4.3e+07,"50",NA,"","","95","2023","W","","","Northwest",11,"Public Road","1 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Higashirokugatsucho","Rokucho","20",5.2e+07,"135",NA,"","","95","2013","W","","","North",8,"Public Road","1 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Hokima","Takenotsuka","25",2.9e+07,"45",NA,"","","75","2018","W","","","North",6,"Public Road","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Hokima","Takenotsuka","25",5.2e+07,"70",NA,"","","115","2025","W","","","",4.5,"Private Road","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Hokima","Takenotsuka","20",2e+07,"65",NA,"","","70","1976","W","","","East",4.9,"Public Road","1 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Hokima","Takenotsuka","",3.5e+07,"80",NA,"","","90","2020","W","","","East",7.3,"Public Road","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Motokihigashimachi","Ogi Ohashi","15",4.1e+07,"45",NA,"","","85","2024","W","","","",NA,"","Quasi-Ind",80,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Ayase","Ayase","10",7.8e+07,"80",NA,"","","120","2025","W","","","East",6,"Public Road","1 Exc Med",60,240,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Ayase","Ayase","10",7.3e+07,"80",NA,"","","100","2025","W","","","East",6,"Public Road","1 Exc Med",60,240,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Ayase","Ayase","5",1.3e+08,"135",NA,"","","155","1998","W","","","South",5.9,"Public Road","Neighborhood Comm",80,400,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kojiyahoncho","Toneri","15",4.3e+07,"85",NA,"","","90","2025","W","","","Southeast",4,"Private Road","1 Exc Low",60,150,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kojiyahoncho","Toneri","10",3.1e+07,"125",NA,"","","90","2001","W","","","East",7.4,"Public Road","1 Exc Low",50,150,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kojiyahoncho","Toneri","5",4e+07,"120",NA,"","","95","2002","W","","","West",7.4,"Public Road","1 Exc Med",50,150,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Sekibara","Umejima","20",4e+07,"70",NA,"","","80","2021","W","","","Northeast",4,"Private Road","Quasi-Ind",80,300,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Sekibara","Nishi Arai","20",2.7e+07,"75",NA,"","","125","1973","S","","","West",6,"Public Road","Neighborhood Comm",80,300,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Sekibara","Umejima","20",4e+07,"40",NA,"","","80","2025","W","","","Northwest",4,"Public Road","Quasi-Ind",80,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Sekibara","Nishi Arai","20",2.2e+07,"40",NA,"","","85","1999","W","","","Southeast",3.8,"Public Road","Quasi-Ind",80,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Sekibara","Nishi Arai","15",6.4e+07,"105",NA,"","","100","2025","W","","","Southeast",3.8,"Public Road","Neighborhood Comm",80,240,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Senjusakuragi","Kita Senju","20",4.2e+07,"70",NA,"","","85","2005","W","","","Southeast",25.4,"Public Road","Quasi-Ind",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Senjusakuragi","Machiya","25",6.8e+07,"80",NA,"","","95","2025","W","","","South",NA,"Public Road","1 Res",60,180,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Senjumotomachi","Kita Senju","20",4e+07,"45",NA,"","","75","2025","W","","","South",4,"Public Road","Quasi-Ind",80,300,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Tsubaki","Nishiaraidaishi Nishi","20",4.8e+07,"75",NA,"","","105","2022","W","","","North",6,"Public Road","1 Res",60,300,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nakagawa","Kameari","10",5.3e+07,"65",NA,"","","110","2025","W","","","",NA,"","1 Exc Med",70,160,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nakagawa","Kameari","15",4e+07,"65",NA,"","","80","2018","W","","","Southwest",4,"Public Road","1 Res",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nakagawa","Kameari","15",4e+07,"40",NA,"","","75","2025","W","","","",NA,"","Quasi-Ind",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Hokima","Takenotsuka","25",4.7e+07,"70",NA,"","","110","2025","W","","","",4.5,"Private Road","1 Exc Med",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Hokima","Takenotsuka","25",4.7e+07,"70",NA,"","","105","2025","W","","","",4.5,"Private Road","1 Exc Med",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Hokima","Takenotsuka","",3.1e+07,"90",NA,"","","90","2010","W","","","South",4.5,"Private Road","Quasi-Ind",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Hokima","Takenotsuka","25",3.5e+07,"75",NA,"","","105","2008","W","","","South",4.5,"Private Road","Quasi-Ind",70,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Hokima","Yatsuka","25",3e+07,"100",NA,"","","90","1996","W","","","East",6,"Public Road","Quasi-Ind",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Hokima","Takenotsuka","25",3.5e+07,"80",NA,"","","85","1998","W","","","East",6,"Public Road","Quasi-Res",60,40,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Hokima","Takenotsuka","20",2.3e+07,"65",NA,"","","70","1978","W","","","",NA,"","1 Res",60,200,"3rd quarter 2025",""
